Code,Name,Company,Board,Sector,Date,52WeekHigh,52WeekLow,Open,High,Low,Last,Chg,ChgPercent,Volume,Total News,Sum_Compound,PriceLabel
2488,ABMB,ALLIANCE BANK MALAYSIA BERHAD,MAIN,Banking,1/3/2019,4.49,3.76,4.05,4.26,4.05,4.2,0.24,6.06,34998,2,-0.0184,Increase
5185,AFFIN,AFFIN BANK BERHAD,MAIN,Banking,1/3/2019,2.63,2.18,2.3,2.31,2.28,2.28,-0.04,-1.72,1384,,,No Change/Decrease
1015,AMBANK,AMMB HOLDINGS BERHAD,MAIN,Banking,1/3/2019,4.59,3.4,4.47,4.51,4.42,4.5,0.03,0.67,28821,,,Increase
5258,BIMB,BIMB HOLDINGS BERHAD,MAIN,Banking,1/3/2019,4.36,3.4,4.24,4.3,4.22,4.25,0,0,21076,,,No Change/Decrease
1023,CIMB,CIMB GROUP HOLDINGS BERHAD,MAIN,Banking,1/3/2019,7.36,5.21,5.84,5.85,5.65,5.68,-0.17,-2.91,194543,,,No Change/Decrease
5819,HLBANK,HONG LEONG BANK BERHAD,MAIN,Banking,1/3/2019,21.66,17.56,21.22,21.3,21.12,21.28,0,0,17622,,,No Change/Decrease
1082,HLFG,HONG LEONG FINANCIAL GROUP BERHAD,MAIN,Banking,1/3/2019,20.4,17.38,19.6,19.72,19.52,19.56,-0.14,-0.71,4225,1,-0.4767,No Change/Decrease
1155,MAYBANK,MALAYAN BANKING BERHAD,MAIN,Banking,1/3/2019,11.08,8.68,9.58,9.58,9.51,9.53,0,0,159945,,,No Change/Decrease
1295,PBBANK,PUBLIC BANK BERHAD,MAIN,Banking,1/3/2019,26.16,22.34,25.04,25.08,25,25.02,0.02,0.08,52920,,,Increase
1066,RHBBANK,RHB BANK BERHAD,MAIN,Banking,1/3/2019,5.88,4.99,5.66,5.83,5.66,5.69,0.03,0.53,59293,,,Increase
2488,ABMB,ALLIANCE BANK MALAYSIA BERHAD,MAIN,Banking,1/4/2019,4.49,3.76,4.09,4.09,4.01,4.01,-0.08,-1.96,3948,1,-0.2732,No Change/Decrease
5185,AFFIN,AFFIN BANK BERHAD,MAIN,Banking,1/4/2019,2.63,2.18,2.21,2.21,2.19,2.2,0,0,572,2,-0.655,No Change/Decrease
1015,AMBANK,AMMB HOLDINGS BERHAD,MAIN,Banking,1/4/2019,4.64,3.4,4.51,4.57,4.42,4.45,-0.11,-2.41,20422,3,-1.6868,No Change/Decrease
5258,BIMB,BIMB HOLDINGS BERHAD,MAIN,Banking,1/4/2019,4.44,3.4,4.32,4.44,4.3,4.41,0.1,2.32,13225,2,-0.3522,Increase
1023,CIMB,CIMB GROUP HOLDINGS BERHAD,MAIN,Banking,1/4/2019,7.36,5.04,5.15,5.17,5.08,5.08,-0.07,-1.36,95992,,,No Change/Decrease
